"s1","concat_ws","customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
Rebecca.scott,Sakilacustomer.org,34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,true,2006-02-14,2006-02-15 04:57:20.000,1
Virginia.green,Sakilacustomer.org,35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,true,2006-02-14,2006-02-15 04:57:20.000,1
Kathleen.adams,Sakilacustomer.org,36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,true,2006-02-14,2006-02-15 04:57:20.000,1
Pamela.baker,Sakilacustomer.org,37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,true,2006-02-14,2006-02-15 04:57:20.000,1
Martha.gonzalez,Sakilacustomer.org,38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,true,2006-02-14,2006-02-15 04:57:20.000,1
Debra.nelson,Sakilacustomer.org,39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,true,2006-02-14,2006-02-15 04:57:20.000,1
Amanda.carter,Sakilacustomer.org,40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,true,2006-02-14,2006-02-15 04:57:20.000,1
Stephanie.mitchell,Sakilacustomer.org,41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,true,2006-02-14,2006-02-15 04:57:20.000,1
Carolyn.perez,Sakilacustomer.org,42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,true,2006-02-14,2006-02-15 04:57:20.000,1
Christine.roberts,Sakilacustomer.org,43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,true,2006-02-14,2006-02-15 04:57:20.000,1
Marie.turner,Sakilacustomer.org,44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,true,2006-02-14,2006-02-15 04:57:20.000,1
Janet.phillips,Sakilacustomer.org,45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,true,2006-02-14,2006-02-15 04:57:20.000,1
Catherine.campbell,Sakilacustomer.org,46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,true,2006-02-14,2006-02-15 04:57:20.000,1
Frances.parker,Sakilacustomer.org,47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,true,2006-02-14,2006-02-15 04:57:20.000,1
Ann.evans,Sakilacustomer.org,48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,true,2006-02-14,2006-02-15 04:57:20.000,1
Joyce.edwards,Sakilacustomer.org,49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,true,2006-02-14,2006-02-15 04:57:20.000,1
Diane.collins,Sakilacustomer.org,50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,true,2006-02-14,2006-02-15 04:57:20.000,1
Alice.stewart,Sakilacustomer.org,51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,true,2006-02-14,2006-02-15 04:57:20.000,1
Julie.sanchez,Sakilacustomer.org,52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,true,2006-02-14,2006-02-15 04:57:20.000,1
Heather.morris,Sakilacustomer.org,53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,true,2006-02-14,2006-02-15 04:57:20.000,1
Teresa.rogers,Sakilacustomer.org,54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,true,2006-02-14,2006-02-15 04:57:20.000,1
Doris.reed,Sakilacustomer.org,55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,true,2006-02-14,2006-02-15 04:57:20.000,1
Gloria.cook,Sakilacustomer.org,56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,true,2006-02-14,2006-02-15 04:57:20.000,1
Evelyn.morgan,Sakilacustomer.org,57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,true,2006-02-14,2006-02-15 04:57:20.000,1
Jean.bell,Sakilacustomer.org,58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,true,2006-02-14,2006-02-15 04:57:20.000,1
Cheryl.murphy,Sakilacustomer.org,59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,true,2006-02-14,2006-02-15 04:57:20.000,1
Mildred.bailey,Sakilacustomer.org,60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,true,2006-02-14,2006-02-15 04:57:20.000,1
Katherine.rivera,Sakilacustomer.org,61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,true,2006-02-14,2006-02-15 04:57:20.000,1
Joan.cooper,Sakilacustomer.org,62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,true,2006-02-14,2006-02-15 04:57:20.000,1
Ashley.richardson,Sakilacustomer.org,63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,true,2006-02-14,2006-02-15 04:57:20.000,1
Judith.cox,Sakilacustomer.org,64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,true,2006-02-14,2006-02-15 04:57:20.000,0
Rose.howard,Sakilacustomer.org,65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,true,2006-02-14,2006-02-15 04:57:20.000,1
Janice.ward,Sakilacustomer.org,66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,true,2006-02-14,2006-02-15 04:57:20.000,1
Kelly.torres,Sakilacustomer.org,67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,true,2006-02-14,2006-02-15 04:57:20.000,1
Nicole.peterson,Sakilacustomer.org,68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,true,2006-02-14,2006-02-15 04:57:20.000,1
Judy.gray,Sakilacustomer.org,69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,true,2006-02-14,2006-02-15 04:57:20.000,1
Christina.ramirez,Sakilacustomer.org,70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,true,2006-02-14,2006-02-15 04:57:20.000,1
Kathy.james,Sakilacustomer.org,71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,true,2006-02-14,2006-02-15 04:57:20.000,1
Theresa.watson,Sakilacustomer.org,72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,true,2006-02-14,2006-02-15 04:57:20.000,1
Beverly.brooks,Sakilacustomer.org,73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,true,2006-02-14,2006-02-15 04:57:20.000,1
Denise.kelly,Sakilacustomer.org,74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,true,2006-02-14,2006-02-15 04:57:20.000,1
Tammy.sanders,Sakilacustomer.org,75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,true,2006-02-14,2006-02-15 04:57:20.000,1
Irene.price,Sakilacustomer.org,76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,true,2006-02-14,2006-02-15 04:57:20.000,1
Jane.bennett,Sakilacustomer.org,77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,true,2006-02-14,2006-02-15 04:57:20.000,1
Lori.wood,Sakilacustomer.org,78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,true,2006-02-14,2006-02-15 04:57:20.000,1
Rachel.barnes,Sakilacustomer.org,79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,true,2006-02-14,2006-02-15 04:57:20.000,1
Marilyn.ross,Sakilacustomer.org,80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,true,2006-02-14,2006-02-15 04:57:20.000,1
Andrea.henderson,Sakilacustomer.org,81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,true,2006-02-14,2006-02-15 04:57:20.000,1
Kathryn.coleman,Sakilacustomer.org,82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,true,2006-02-14,2006-02-15 04:57:20.000,1
Louise.jenkins,Sakilacustomer.org,83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,true,2006-02-14,2006-02-15 04:57:20.000,1
Sara.perry,Sakilacustomer.org,84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,88,true,2006-02-14,2006-02-15 04:57:20.000,1
Anne.powell,Sakilacustomer.org,85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,true,2006-02-14,2006-02-15 04:57:20.000,1
Jacqueline.long,Sakilacustomer.org,86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,90,true,2006-02-14,2006-02-15 04:57:20.000,1
Wanda.patterson,Sakilacustomer.org,87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,true,2006-02-14,2006-02-15 04:57:20.000,1
Bonnie.hughes,Sakilacustomer.org,88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,92,true,2006-02-14,2006-02-15 04:57:20.000,1
Julia.flores,Sakilacustomer.org,89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,true,2006-02-14,2006-02-15 04:57:20.000,1
Ruby.washington,Sakilacustomer.org,90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,94,true,2006-02-14,2006-02-15 04:57:20.000,1
Lois.butler,Sakilacustomer.org,91,2,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,95,true,2006-02-14,2006-02-15 04:57:20.000,1
Tina.simmons,Sakilacustomer.org,92,2,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,96,true,2006-02-14,2006-02-15 04:57:20.000,1
Phyllis.foster,Sakilacustomer.org,93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,true,2006-02-14,2006-02-15 04:57:20.000,1
Norma.gonzales,Sakilacustomer.org,94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,true,2006-02-14,2006-02-15 04:57:20.000,1
Paula.bryant,Sakilacustomer.org,95,2,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,99,true,2006-02-14,2006-02-15 04:57:20.000,1
Diana.alexander,Sakilacustomer.org,96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,100,true,2006-02-14,2006-02-15 04:57:20.000,1
Annie.russell,Sakilacustomer.org,97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,101,true,2006-02-14,2006-02-15 04:57:20.000,1
Lillian.griffin,Sakilacustomer.org,98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,102,true,2006-02-14,2006-02-15 04:57:20.000,1
Emily.diaz,Sakilacustomer.org,99,2,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,103,true,2006-02-14,2006-02-15 04:57:20.000,1
Robin.hayes,Sakilacustomer.org,100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,104,true,2006-02-14,2006-02-15 04:57:20.000,1
Peggy.myers,Sakilacustomer.org,101,1,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,105,true,2006-02-14,2006-02-15 04:57:20.000,1
Crystal.ford,Sakilacustomer.org,102,1,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,106,true,2006-02-14,2006-02-15 04:57:20.000,1
Gladys.hamilton,Sakilacustomer.org,103,1,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,107,true,2006-02-14,2006-02-15 04:57:20.000,1
Rita.graham,Sakilacustomer.org,104,1,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,108,true,2006-02-14,2006-02-15 04:57:20.000,1
Dawn.sullivan,Sakilacustomer.org,105,1,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,109,true,2006-02-14,2006-02-15 04:57:20.000,1
Connie.wallace,Sakilacustomer.org,106,1,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,110,true,2006-02-14,2006-02-15 04:57:20.000,1
Florence.woods,Sakilacustomer.org,107,1,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,111,true,2006-02-14,2006-02-15 04:57:20.000,1
Tracy.cole,Sakilacustomer.org,108,1,TRACY,COLE,TRACY.COLE@sakilacustomer.org,112,true,2006-02-14,2006-02-15 04:57:20.000,1
Edna.west,Sakilacustomer.org,109,2,EDNA,WEST,EDNA.WEST@sakilacustomer.org,113,true,2006-02-14,2006-02-15 04:57:20.000,1
Tiffany.jordan,Sakilacustomer.org,110,2,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,114,true,2006-02-14,2006-02-15 04:57:20.000,1
Carmen.owens,Sakilacustomer.org,111,1,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,115,true,2006-02-14,2006-02-15 04:57:20.000,1
Rosa.reynolds,Sakilacustomer.org,112,2,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,116,true,2006-02-14,2006-02-15 04:57:20.000,1
Cindy.fisher,Sakilacustomer.org,113,2,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,117,true,2006-02-14,2006-02-15 04:57:20.000,1
Grace.ellis,Sakilacustomer.org,114,2,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,118,true,2006-02-14,2006-02-15 04:57:20.000,1
Wendy.harrison,Sakilacustomer.org,115,1,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,119,true,2006-02-14,2006-02-15 04:57:20.000,1
Victoria.gibson,Sakilacustomer.org,116,1,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,120,true,2006-02-14,2006-02-15 04:57:20.000,1
Edith.mcdonald,Sakilacustomer.org,117,1,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,121,true,2006-02-14,2006-02-15 04:57:20.000,1
Kim.cruz,Sakilacustomer.org,118,1,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,122,true,2006-02-14,2006-02-15 04:57:20.000,1
Sherry.marshall,Sakilacustomer.org,119,1,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,123,true,2006-02-14,2006-02-15 04:57:20.000,1
Sylvia.ortiz,Sakilacustomer.org,120,2,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,124,true,2006-02-14,2006-02-15 04:57:20.000,1
Josephine.gomez,Sakilacustomer.org,121,1,JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,125,true,2006-02-14,2006-02-15 04:57:20.000,1
Thelma.murray,Sakilacustomer.org,122,1,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,126,true,2006-02-14,2006-02-15 04:57:20.000,1
Shannon.freeman,Sakilacustomer.org,123,2,SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,127,true,2006-02-14,2006-02-15 04:57:20.000,1
Sheila.wells,Sakilacustomer.org,124,1,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,128,true,2006-02-14,2006-02-15 04:57:20.000,0
Ethel.webb,Sakilacustomer.org,125,1,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,129,true,2006-02-14,2006-02-15 04:57:20.000,1
Ellen.simpson,Sakilacustomer.org,126,1,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,130,true,2006-02-14,2006-02-15 04:57:20.000,1
Elaine.stevens,Sakilacustomer.org,127,2,ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,131,true,2006-02-14,2006-02-15 04:57:20.000,1
Marjorie.tucker,Sakilacustomer.org,128,1,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,132,true,2006-02-14,2006-02-15 04:57:20.000,1
Carrie.porter,Sakilacustomer.org,129,1,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,133,true,2006-02-14,2006-02-15 04:57:20.000,1
Charlotte.hunter,Sakilacustomer.org,130,1,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,134,true,2006-02-14,2006-02-15 04:57:20.000,1
Monica.hicks,Sakilacustomer.org,131,2,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,135,true,2006-02-14,2006-02-15 04:57:20.000,1
Esther.crawford,Sakilacustomer.org,132,2,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,136,true,2006-02-14,2006-02-15 04:57:20.000,1
Pauline.henry,Sakilacustomer.org,133,1,PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,137,true,2006-02-14,2006-02-15 04:57:20.000,1
Emma.boyd,Sakilacustomer.org,134,1,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,138,true,2006-02-14,2006-02-15 04:57:20.000,1
Juanita.mason,Sakilacustomer.org,135,2,JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,139,true,2006-02-14,2006-02-15 04:57:20.000,1
Anita.morales,Sakilacustomer.org,136,2,ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,140,true,2006-02-14,2006-02-15 04:57:20.000,1
Rhonda.kennedy,Sakilacustomer.org,137,2,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,141,true,2006-02-14,2006-02-15 04:57:20.000,1
Hazel.warren,Sakilacustomer.org,138,1,HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,142,true,2006-02-14,2006-02-15 04:57:20.000,1
Amber.dixon,Sakilacustomer.org,139,1,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,143,true,2006-02-14,2006-02-15 04:57:20.000,1
Eva.ramos,Sakilacustomer.org,140,1,EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,144,true,2006-02-14,2006-02-15 04:57:20.000,1
Debbie.reyes,Sakilacustomer.org,141,1,DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,145,true,2006-02-14,2006-02-15 04:57:20.000,1
April.burns,Sakilacustomer.org,142,1,APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,146,true,2006-02-14,2006-02-15 04:57:20.000,1
Leslie.gordon,Sakilacustomer.org,143,1,LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,147,true,2006-02-14,2006-02-15 04:57:20.000,1
Clara.shaw,Sakilacustomer.org,144,1,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,148,true,2006-02-14,2006-02-15 04:57:20.000,1
Lucille.holmes,Sakilacustomer.org,145,1,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,149,true,2006-02-14,2006-02-15 04:57:20.000,1
Jamie.rice,Sakilacustomer.org,146,1,JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,150,true,2006-02-14,2006-02-15 04:57:20.000,1
Joanne.robertson,Sakilacustomer.org,147,2,JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,151,true,2006-02-14,2006-02-15 04:57:20.000,1
Eleanor.hunt,Sakilacustomer.org,148,1,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,true,2006-02-14,2006-02-15 04:57:20.000,1
Valerie.black,Sakilacustomer.org,149,1,VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,153,true,2006-02-14,2006-02-15 04:57:20.000,1
Danielle.daniels,Sakilacustomer.org,150,2,DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,154,true,2006-02-14,2006-02-15 04:57:20.000,1
Megan.palmer,Sakilacustomer.org,151,2,MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,155,true,2006-02-14,2006-02-15 04:57:20.000,1
Alicia.mills,Sakilacustomer.org,152,1,ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,156,true,2006-02-14,2006-02-15 04:57:20.000,1
Suzanne.nichols,Sakilacustomer.org,153,2,SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,157,true,2006-02-14,2006-02-15 04:57:20.000,1
Michele.grant,Sakilacustomer.org,154,2,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,158,true,2006-02-14,2006-02-15 04:57:20.000,1
Gail.knight,Sakilacustomer.org,155,1,GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,159,true,2006-02-14,2006-02-15 04:57:20.000,1
Bertha.ferguson,Sakilacustomer.org,156,1,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,160,true,2006-02-14,2006-02-15 04:57:20.000,1
Darlene.rose,Sakilacustomer.org,157,2,DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,161,true,2006-02-14,2006-02-15 04:57:20.000,1
Veronica.stone,Sakilacustomer.org,158,1,VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,162,true,2006-02-14,2006-02-15 04:57:20.000,1
Jill.hawkins,Sakilacustomer.org,159,1,JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,163,true,2006-02-14,2006-02-15 04:57:20.000,1
Erin.dunn,Sakilacustomer.org,160,2,ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,164,true,2006-02-14,2006-02-15 04:57:20.000,1
Geraldine.perkins,Sakilacustomer.org,161,1,GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,165,true,2006-02-14,2006-02-15 04:57:20.000,1
Lauren.hudson,Sakilacustomer.org,162,2,LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,166,true,2006-02-14,2006-02-15 04:57:20.000,1
Cathy.spencer,Sakilacustomer.org,163,1,CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,167,true,2006-02-14,2006-02-15 04:57:20.000,1
Joann.gardner,Sakilacustomer.org,164,2,JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,168,true,2006-02-14,2006-02-15 04:57:20.000,1
